label,entity,count
GPE,中国,19
GPE,亚洲,18
GPE,美国,14
GPE,东亚,5
GPE,香港,5
GPE,日本,4
GPE,墨西哥,4
GPE,泰国,4
GPE,墨尔本,3
GPE,巴黎,3
GPE,英国,3
GPE,东京,3
GPE,藏身之所,2
GPE,伦敦,2
GPE,纽约,2
GPE,台湾,2
GPE,脚镣,2
GPE,上海,2
GPE,多样性,2
GPE,petrus,2
GPE,nonbirary,2
GPE,中和,1
GPE,古人类学,1
GPE,catherine opie,1
GPE,澳洲,1
GPE,兼具,1
GPE,瑞士,1
GPE,巴塞尔,1
GPE,洛丽塔亚,1
GPE,奥尔,1
GPE,译者们,1
GPE,弗兰肯斯坦,1
GPE,珂拉琪,1
GPE,日药力,1
GPE,波士顿,1
GPE,新加坡,1
GPE,martin why,1
GPE,成都,1
GPE,河南人,1
GPE,河北,1
GPE,罗马,1
GPE,密苏里州,1
GPE,西葫芦,1
GPE,菲律宾,1
GPE,加里·弗洛伊德(Gary,1
GPE,多伦多,1
GPE,non,1
GPE,荷兰,1
GPE,北京,1
GPE,吉隆坡,1
GPE,台词,1
GPE,弱化性,1
GPE,fu权制,1
GPE,意大利,1
GPE,巴西,1
GPE,土耳其,1
GPE,南非,1
GPE,印尼,1
GPE,法国,1
GPE,波兰,1
PERSON,cocona,20
PERSON,卢凯彤,12
PERSON,巴特勒,11
PERSON,陈柏豪,8
PERSON,魏无羡,8
PERSON,福柯,6
PERSON,李银河,6
PERSON,洛丽塔,5
PERSON,巴洛克,4
PERSON,gender,4
PERSON,王橹杰,4
PERSON,里奇,4
PERSON,达尔,3
PERSON,朱迪斯巴特勒,3
PERSON,哈尔伯斯坦,3
PERSON,凯瑟琳·奥佩,2
PERSON,lan liujia tian,2
PERSON,巴塞尔,2
PERSON,夸尔斯,2
PERSON,李一,2
PERSON,泛性恋,2
PERSON,胡言乱语,2
PERSON,朱迪斯·巴特勒,2
PERSON,威廉巴勒斯,2
PERSON,doechii,2
PERSON,崔子恩,2
PERSON,邱妙津,2
PERSON,80年代,2
PERSON,徐振宇,2
PERSON,郑灵华,1
PERSON,normal,1
PERSON,拉康派,1
PERSON,surfers,1
PERSON,hunter schafer,1
PERSON,肖像照,1
PERSON,机器人,1
PERSON,张将军,1
PERSON,埃利奥特,1
PERSON,僭越,1
PERSON,白玫瑰,1
PERSON,out,1
PERSON,川建国,1
PERSON,标志性,1
PERSON,佳士得,1
PERSON,英港,1
PERSON,克里斯蒂娜·夸尔斯,1
PERSON,quarles,1
PERSON,肖像画,1
PERSON,｜essay,1
PERSON,揭示亚,1
PERSON,洛可可,1
PERSON,吴小英,1
PERSON,普雷西亚多（Paul,1
PERSON,testimonial,1
PERSON,鼓励式,1
PERSON,佩戴者,1
PERSON,唐娜·哈洛威,1
PERSON,p2,1
PERSON,波伏,1
PERSON,维蒂格,1
PERSON,｜intersectionality,1
PERSON,庇护所,1
PERSON,李身边,1
PERSON,鲜血淋漓,1
PERSON,李决定,1
PERSON,李心,1
PERSON,德鲁斯塔基,1
PERSON,丹尼尔克,1
PERSON,阿莉史密斯,1
PERSON,crenshaw,1
PERSON,张念,1
PERSON,卡本科,1
PERSON,荣格,1
PERSON,尤瓦尔·赫拉利,1
PERSON,卡罗琳·克里亚多,1
PERSON,佩雷斯,1
PERSON,何春蕤,1
PERSON,rofel,1
PERSON,engebretsen,1
PERSON,伯兰特,1
PERSON,讀書,1
PERSON,patricia,1
PERSON,垮掉派,1
PERSON,克里斯汀斯图尔特,1
PERSON,安放于,1
PERSON,宝贝,1
PERSON,💫当,1
PERSON,柏拉图,1
PERSON,如辛迪·舍曼,1
PERSON,扎内勒·穆霍利,1
PERSON,克劳德·卡洪,1
PERSON,大卫·沃纳洛维奇,1
PERSON,德里克·贾曼,1
PERSON,罗伯特·梅普尔,1
PERSON,卡迪·诺兰,1
PERSON,如格兰·利根,1
PERSON,保罗·麦卡锡,1
PERSON,皮洛蒂·里斯特,1
PERSON,瑞恩·坦卡,1
PERSON,jude,1
PERSON,啤酒瓶,1
PERSON,琼斯,1
PERSON,布鲁斯·拉布鲁斯,1
PERSON,中心主义,1
PERSON,dating,1
PERSON,robert,1
PERSON,陈柏,1
PERSON,安全套,1
PERSON,白睿文,1
PERSON,划等号,1
PERSON,杰伊·普罗瑟,1
PERSON,普罗瑟,1
PERSON,罗曼司,1
PERSON,deep,1
PERSON,拉德克利夫·霍尔,1
PERSON,帕特里夏·海史,1
PERSON,珍妮特·温特森,1
PERSON,安德烈·艾席蒙,1
PERSON,大卫·埃伯肖夫,1
PERSON,萨莉·海因斯,1
PERSON,莱斯利·范伯格,1
PERSON,林棹,1
PERSON,萨拉·沃特斯,1
PERSON,达蒙·加尔格特,1
PERSON,王小波,1
PERSON,顺直人,1
PERSON,染色体,1
PERSON,libby,1
PERSON,radical,1
PERSON,罗姆语,1
PERSON,捧跤手,1
PERSON,lubunca,1
PERSON,葛亮,1
PERSON,tang,1
PERSON,kaustav,1
PERSON,liang,1
PERSON,papi juice,1
PERSON,杜弗,1
PERSON,杜弗·诗歌,1
PERSON,zine,1
PERSON,安慰感,1
PERSON,托马斯·杰罗姆·牛顿,1
PERSON,大卫·鲍伊饰,1
PERSON,大卫,1
PERSON,鲍伊,1
PERSON,艾德丽安·里奇,1
PERSON,rich,1
PERSON,林金伟,1
PERSON,金像奖,1
PERSON,卡尔·马克思,1
PERSON,米尼奥洛,1
PERSON,乱葬岗,1
PERSON,great,1
PERSON,mila,1
PERSON,jack halberstam,1
PERSON,q&a,1
